# PeTrack project: 010_c_12_h0.pet
# raw trajectory file: 010_c_12_h0.trc
# framerate: 25 fps
# z: can be 3d position or height of person (alternating or not)
id frame x/m y/m z/m
3 132 -0.0454687 -0.668598 1.76
3 133 -0.0557333 -0.697806 1.76
3 134 -0.0637261 -0.724974 1.76
3 135 -0.0692115 -0.750734 1.76
3 136 -0.0715742 -0.774737 1.76
3 137 -0.0724785 -0.801548 1.76
3 138 -0.0697995 -0.827762 1.76
3 139 -0.0647762 -0.854363 1.76
3 140 -0.0579703 -0.883191 1.76
3 141 -0.0466638 -0.915105 1.76
3 142 -0.0336959 -0.950307 1.76
3 143 -0.015033 -0.987419 1.76
3 144 0.00378864 -1.0267 1.76
3 145 0.0204144 -1.0639 1.76
3 146 0.0352188 -1.10158 1.76
3 147 0.0479004 -1.13991 1.76
3 148 0.057554 -1.17806 1.76
3 149 0.0647604 -1.21731 1.76
3 150 0.0695633 -1.2551 1.76
3 151 0.073337 -1.28885 1.76
3 152 0.0761292 -1.32245 1.76
3 153 0.0764084 -1.35391 1.76
3 154 0.0753407 -1.38455 1.76
3 155 0.0731701 -1.41459 1.76
3 156 0.0693675 -1.44131 1.76
3 157 0.0652371 -1.46756 1.76
3 158 0.0611453 -1.49291 1.76
3 159 0.0589769 -1.52156 1.76
3 160 0.0602729 -1.55558 1.76
3 161 0.0654942 -1.59311 1.76
3 162 0.0737053 -1.63244 1.76
3 163 0.0833365 -1.67085 1.76
3 164 0.092522 -1.70613 1.76
3 165 0.102367 -1.73808 1.76
3 166 0.112672 -1.7647 1.76
3 167 0.124467 -1.78628 1.76
3 168 0.13923 -1.8071 1.76
3 169 0.157601 -1.82558 1.76
3 170 0.180006 -1.84779 1.76
4 0 0.357029 2.28701 1.76
4 1 0.360853 2.28727 1.76
4 2 0.362702 2.28655 1.76
4 3 0.359997 2.28419 1.76
4 4 0.36123 2.28413 1.76
4 5 0.364717 2.2817 1.76
4 6 0.367313 2.27818 1.76
4 7 0.369693 2.27408 1.76
4 8 0.371317 2.27069 1.76
4 9 0.37511 2.26728 1.76
4 10 0.375577 2.26174 1.76
4 11 0.379509 2.25616 1.76
