,t,NT,motivation,num
379,15.16,20.0,high,0.0
380,15.2,20.0,high,0.0
381,15.24,20.0,high,0.0
382,15.28,20.0,high,0.0
383,15.32,20.0,high,0.0
384,15.36,20.0,high,0.0
385,15.4,20.0,high,0.0
386,15.44,20.0,high,0.0
387,15.48,20.0,high,0.0
388,15.52,20.0,high,0.0
389,15.56,20.0,high,0.0
390,15.6,20.0,high,0.0
391,15.64,20.0,high,0.0
392,15.68,20.0,high,0.0
393,15.72,20.0,high,0.0
394,15.76,20.0,high,0.0
395,15.8,20.0,high,0.0
396,15.84,20.0,high,0.0
397,15.88,20.0,high,0.0
398,15.92,20.0,high,0.0
399,15.96,20.0,high,0.0
400,16.0,20.0,high,0.0
401,16.04,20.0,high,0.0
402,16.08,20.0,high,0.0
403,16.12,20.0,high,0.0
404,16.16,20.0,high,0.0
405,16.2,20.0,high,0.0
406,16.24,21.0,high,0.0
407,16.28,21.0,high,0.0
408,16.32,21.0,high,0.0
409,16.36,21.0,high,0.0
410,16.4,21.0,high,0.0
411,16.44,21.0,high,0.0
412,16.48,21.0,high,0.0
413,16.52,21.0,high,0.0
414,16.56,21.0,high,0.0
415,16.6,21.0,high,0.0
416,16.64,21.0,high,0.0
417,16.68,21.0,high,0.0
418,16.72,21.0,high,0.0
419,16.76,21.0,high,0.0
420,16.8,21.0,high,0.0
421,16.84,21.0,high,0.0
422,16.88,21.0,high,0.0
423,16.92,22.0,high,0.0
424,16.96,22.0,high,0.0
425,17.0,23.0,high,0.0
426,17.04,23.0,high,0.0
427,17.08,23.0,high,0.0
428,17.12,23.0,high,0.0
429,17.16,23.0,high,0.0
430,17.2,23.0,high,0.0
431,17.24,23.0,high,0.0
432,17.28,23.0,high,0.0
433,17.32,23.0,high,0.0
434,17.36,23.0,high,0.0
435,17.4,23.0,high,0.0
436,17.44,23.0,high,0.0
437,17.48,23.0,high,0.0
438,17.52,23.0,high,0.0
439,17.56,23.0,high,0.0
440,17.6,23.0,high,0.0
441,17.64,23.0,high,0.0
442,17.68,23.0,high,0.0
443,17.72,23.0,high,0.0
444,17.76,23.0,high,0.0
445,17.8,23.0,high,0.0
446,17.84,23.0,high,0.0
447,17.88,23.0,high,0.0
448,17.92,23.0,high,0.0
449,17.96,23.0,high,0.0
450,18.0,24.0,high,0.0
451,18.04,24.0,high,0.0
452,18.08,24.0,high,0.0
453,18.12,24.0,high,0.0
454,18.16,24.0,high,0.0
455,18.2,24.0,high,0.0
456,18.24,24.0,high,0.0
457,18.28,24.0,high,0.0
458,18.32,24.0,high,0.0
459,18.36,25.0,high,0.0
460,18.4,25.0,high,0.0
