,DT,motivation
223,1.2000000000000028,low
224,1.0,low
225,1.240000000000002,low
226,0.8799999999999955,low
227,0.8400000000000034,low
228,0.8799999999999955,low
229,1.3599999999999994,low
230,0.8000000000000043,low
231,1.1599999999999966,low
232,0.8000000000000043,low
233,1.1999999999999957,low
234,0.9600000000000009,low
235,0.9600000000000009,low
236,0.9600000000000009,low
237,1.1199999999999974,low
238,1.2000000000000028,low
239,1.0,low
240,0.9600000000000009,low
241,0.759999999999998,low
242,0.8399999999999999,low
243,1.5199999999999996,low
244,0.40000000000000036,low
245,0.8800000000000008,low
246,1.4800000000000004,low
247,0.6799999999999997,low
248,1.120000000000001,low
249,1.1199999999999974,low
250,0.8399999999999999,low
251,1.3599999999999994,low
252,1.0800000000000018,low
253,0.03999999999999915,low
254,1.4400000000000013,low
255,1.0,low
